DOCULECT;CONCEPT;IPA;VARIANTS
Modern_Persian;fish;mahi;
Ormuri;fish;maʔi;
Ossetic_Iron;fish;kaesag;
Parachi;fish;maso;
Shughni;fish;moji;
Taleshi;fish;mohi;
Wakhi;fish;moj;məst
Yaghnobi;fish;mahi;
Zazaki;fish;mase;
SEK ;fish;masi;
SK;fish;masi;
NK;fish;mɛʕsi;
SWK;fish;masɨ;
NWK;fish;mɔsi;
Bakhtiyari;fly;paʃxe;
Balochi;fly;masesk;
Gilaki;fly;məgəs;
Judeo-Tati;fly;megez;
Kumzari;fly;mes;
Luri;fly;pareda;fal kerda
Modern_Persian;fly;mags;
Ormuri;fly;maʃɨ;
Ossetic_Iron;fly;tæxɨn;
Parachi;fly;rhoz;
Shughni;fly;riwaz;
Taleshi;fly;parʔst;
Wakhi;fly;maks;
Waziri;fly;wratel;
Yaghnobi;fly;par;fur
Zazaki;fly;perʔajiʔ;firʔdajiʔ
SEK ;fly;meʃ;
SK;fly;meʃ;
NK;fly;meʃ;
SWK;fly;meɹ;
NWK;fly;mɛʃ;
Bakhtiyari;give;daden;
Balochi;give;deagʔ;datʔa
Gilaki;give;daan;fadan
Judeo-Tati;give;dore;
Kumzari;give;do;dar
Modern_Persian;give;dadan;
Ormuri;give;baʃ;ʃɨr
Ossetic_Iron;give;daettɨn;
Shughni;give;dedow;
Taleshi;give;da;
Wakhi;give;rand;
Waziri;give;derkrel;
Yaghnobi;give;tifar;
Zazaki;give;dajiʔ;
SEK ;give;dan;
SK;give;dan;
NK;give;dayin;
SWK;give;dan;
NWK;give;dɔyin;dɔn
Bakhtiyari;go;rahden;raften
Balochi;go;rawag;
Gilaki;go;ʃon;gərdəstən
Judeo-Tati;go;rafde;geʃde
Kumzari;go;raft;
Modern_Persian;go;raftan;
Ormuri;go;tsaw;
Ossetic_Iron;go;tsæwɨn;wajɨn
Parachi;go;ʧim;
Shughni;go;saw;tiz
Taleshi;go;ʃe;poje
Wakhi;go;ʧaw;tuk
Yaghnobi;go;tir;ʃau
Zazaki;go;ʃɨjajiʃ;ʃɨne
SEK ;go;ʧun;
SK;go;ʧun;
